Title,Company,Location,Rating,Date,Salary,Description,Links,Descriptions
Data Analyst,RPX,"San Francisco, CA 94105 (Financial District area)",NaN,PostedPosted 9 days ago,"$80,000 - $92,000 a year","Provide data-based answers to questions posed by the business and clients.
The focus of this role is synthesizing data, extracting high level insights, and…",/rc/clk?jk=a269faf55acfd4cc&fccid=3bd140ae8fb16e1c&vjs=3,"RPX Corporation is the leading provider of a comprehensive suite of solutions to help companies manage the risks and costs that arise at any stage of their IP program. To learn more about RPX Services, please visit us at www.RPXcorp.com.
By combining world-class transaction expertise with proprietary data and advanced analytics RPX obtains patent rights that avoid or resolve patent-related disputes shared among our diverse global membership, and provides unique insights that inform our members’ strategic and tactical executive decisions.
What you can expect as a Data Analyst:
As a Data Analyst, you will be solving intriguing problems to help global technology companies, as well as the opportunity to interact with industry leading professionals. You will analyze and visualize data, uncovering legal and business trends in response to questions from RPX clients, internal groups, the press, and academics. The focus of this role is synthesizing data, extracting high level insights, and building persuasive reports and presentations.
In this role, you will:
Provide data-based answers to questions posed by the business and clients
Create customized and standardized reports
Present research findings to internal and external stakeholders
Perform a variety of directed and independent research on IP risk in new technology areas
Collaborate with other internal teams and work self-directed under limited supervision
Locate, assemble, clean, and maintain datasets from internal and external sources
Do you have the experience to join our team?
Minimum Qualifications:
Bachelor’s degree required; business, economics, or hard science degree viewed favorably
1+ years developing business reports and/or presentations
1+ years performing analysis
Proficiency with Microsoft Excel and PowerPoint
Strong quantitative analysis skills with a proficiency towards discovering insights, trends, and patterns with large datasets
Detail-oriented; natural curiosity and a quick, eager learner; creative problem solver
Excellent oral and written communications and presentation skills
Preferred Qualifications:
Experience with data visualization
Experience with a SQL-style query language
Interested in Learning More About Us?
In compliance with CA Pay Transparency, the RPX base salary range for this position is $65,000 to $117,000 with a target budgeted salary of $80,000 to $92,000 depending on skills and experience. In addition to base salary, we offer an annual bonus opportunity and comprehensive benefits and perks, including group health coverage, company HSA contribution, 401(k) matching, medical disability and family leave benefits, fitness reimbursement, community service days, charitable donation matching, and more, as well as the option to work remotely or from our beautiful San Francisco office.
At RPX, we value diversity. Our differences unlock our strengths. We embrace diversity of thought and background to foster opportunities for innovation and collaboration. We’re committed to creating an inclusive environment of mutual respect, humility and empathy where authenticity is welcomed, and all people are supported. Uplifting each other enhances the well-being of our communities as well as the success of our company. By encouraging everyone to speak, and listening carefully to every voice, we’re better equipped to understand our clients’ increasingly diverse needs and deliver solutions to their most complex problems.
RPX is an equal opportunity employer.
We will make reasonable accommodations to enable any qualified individual with a disability to participate in the job application and interview process, to perform the essential functions of the relevant position, and to enjoy equal benefits and privileges of employment as those enjoyed by similarly-situated employees without disabilities. If you require a reasonable accommodation, please notify RPX HR."
Senior Data Analyst,North East Medical Services,"Daly City, CA 94014",2.7,PostedJust posted,"$125,544 - $145,496 a year","Perform research by gathering data from a variety of healthcare sources, including internal and external data/research.
This is an FLSA Exempt position.",/rc/clk?jk=a23f5b0b575886ab&fccid=9bf2c3dc844c0af7&vjs=3,"The Senior Data Analyst will be responsible for projects involving research, analysis, and the presentation of findings, insights, and recommendations based on various factors (ex: data insights, regulatory changes, feedback from QA reviews, market information, etc.) to solve business problems and improve outcomes.

ESSENTIAL JOB FUNCTIONS:
Evaluate, communicate and lead business requests for implementation prioritization
Perform research by gathering data from a variety of healthcare sources, including internal and external data/research
Present analytical findings and insights to stakeholders and leadership using effective storyboarding and dynamic visuals
Diligently pursue learning and training opportunities to build skills and knowledge
Ability to translate project goals and requirements to business and technical teams with a confirmed understanding of development processes
Coordinate and complete ad hoc requests for data and analysis, utilizing business, operational, and analytical skills/knowledge
Owns report development for reports/dashboards
Performs other job duties as required by manager/supervisor.

QUALIFICATIONS:
Bachelor’s degree or equivalent experience in addition to 3+ years of relevant experience to include business analysis work
3+ years analytical experience working in healthcare data quality reporting
Expert in SQL and other common analytic/data tools (3+ years)
Development and Building experience with Business Intelligence tools like SQL Server Reporting Server, PowerBI or other similar tools (3+ years)
Experience with standard healthcare Quality Measures and reporting, like NCQA HEDIS, CMS eCQM, PQA, P4P, and more
Understanding of the sources and contents of health care data with experience in reporting and/or analytic workflows for health care organizations
Displays strong communication abilities to effectively coordinate work and collaborate with clinical, operations and IT teams
Motivation to build best in class software
Able to work independently and follow through on work commitments
Able to research and apply problem solving, analytical skills

LANGUAGE:
Must be able to fluently speak, read and write English.
Fluent in Chinese (Cantonese and/or Mandarin), Vietnamese, Spanish and other languages may be required depending on location.
Fluency in other languages are an asset.

STATUS:
This is an FLSA Exempt position.
This is not an OSHA low-risk position."
Data Analyst,Attentive Mobile,"Hybrid remote in San Francisco, CA",3.6,PostedPosted 6 days ago,"$85,200 - $127,000 a year","Our primary data visualization tool is Looker.
Our data backend is based in Java and Python microservices coupled with Spark, Kinesis, AirFlow, Snowflake, and…",/rc/clk?jk=c350edef327bb8ab&fccid=6bab5fc4ce26f101&vjs=3,"SAN FRANCISCO, CA /
ENGINEERING /
FULL-TIME
/ HYBRID
About Attentive:
Attentive® is the leader in conversational commerce, reinventing business to consumer communication. Our SMS-first software platform helps everyone from entrepreneurs to enterprises strengthen relationships with their consumers in a new way. Through two-way, real-time, personalized communications, we drive billions in e-commerce revenue and over 8,000 leading brands like CB2, Urban Outfitters, Crocs, Jack in the Box, and Coach rely on Attentive to deliver powerful commerce experiences.

Attentive’s growth has been recognized by Deloitte’s Fast 500, Linkedin’s Top Startups and Forbes Cloud 100 all thanks to the hard work from our global employees!

Who we are
We are seeking a Data Analyst to join our growing Business Intelligence team, supporting analytics needs across a newly formed initiative working to develop and enhance our marketing tool by automating the everyday SMS marketer task’s by leveraging machine learning.

You’ll help define and support KPIs and build dashboards that enable better decision-making. You’ll also help maintain and enhance the relationship between the BI team and the rest of the organization, empowering team members to reach out and request analytical support as they need it. A self-starter, excited about working in a data-driven environment, who is motivated by making a measurable, visible impact, is an excellent fit for this role.

This role does require a hybrid workplace model of onsite in our SF office Tuesday -Thursday.
Why Attentive needs you
You will work with leads across the company to determine and define analytics requirements
You will manage and maintain dashboards for teams across the organization in support of key business decisions
You will be an active thought partner for the team, striving to question, enhance, and support work that is both in-flight as well as well established.
A team player with excellent collaboration and communication skills
About you
1+ year of professional analytics experience
High level of proficiency with SQL
Inherent curiosity and analytical follow-through - you can’t help but ask “why?” and love using data and logic to explore potential solutions
Exceptional data storytelling abilities, as well as the ability to articulate technical information to a non-technical audience
Experience with at least one BI visualization tool, Looker experience is a huge plus.
Exposure to working in or near a fast-paced software development team with a focus on deliverables.
BI @ Attentive:
Our primary data visualization tool is Looker.
We have access to Python, R, Snowflake, SQL, and DBT for analyses.
Our data backend is based in Java and Python microservices coupled with Spark, Kinesis, AirFlow, Snowflake, and Postgres, all hosted on AWS.
Our team supports stakeholders from client strategy, product management, sales, marketing, engineering, designers, and the leadership team.
Attentive believes in success through product innovation and data-driven decision-making.
You'll get competitive perks and benefits from health care to home office equipment, to help you bring your best self to work!

For US based applicants:
-The standard base salary range for this position is $85,200 - $127,000 annually
This position is eligible for equity in the form of RSUs

#LI-CG1

Attentive Company Values
Default to Action - Speed is our best offense and defense
Never Settle - Continuously raise the bar for yourself and your teammates
Hard Work Solves Big Problems - Success requires grit and resilience
Be Attentive - Work together as a team to drive greatness for our company and our customers

Learn more about AWAKE, Attentive’s collective of employee resource groups.

If you do not meet all the requirements listed here, we still encourage you to apply! No job description is perfect, and we may also have another opportunity that closely matches your skills and experience.

At Attentive, we know that our Company's strength lies in the diversity of our employees. Attentive is an Equal Opportunity Employer and we welcome applicants from all backgrounds. Our policy is to provide equal employment opportunities for all employees, applicants and covered individuals regardless of protected characteristics. We prioritize and maintain a fair, inclusive and equitable workplace free from discrimination, harassment, and retaliation."
Data Analyst,Vetro Tech Inc,"Remote in San Francisco, CA",NaN,EmployerActive 4 days ago,"$83,000 - $93,000 a year","Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",/company/Vetro-Tech-Inc/jobs/Data-Analyst-b3381da73111e9ac?fccid=4e4e1eb33c6dcc2a&vjs=3,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Skills
Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
BS in Mathematics, Economics, Computer Science, Information Management or Statistics
Job Type: Full-time
Salary: $83,000.00 - $93,000.00 per year
Schedule:
Monday to Friday
Work Location: Remote"
Production Analyst,Procter & Gamble,"San Francisco, CA",4.1,PostedPosted 25 days ago,"$71,700 - $102,400 a year","Strong background in data analysis and ability to develop actionable insights.
Pull and analyze data on sales consumption, inventory and sell-thru.",/rc/clk?jk=869cc4f55b98f8f3&fccid=2da0dedf6df97194&vjs=3,"P&G is the largest consumer packaged goods company in the world. We have operations in over 75 countries, with 65 trusted brands that improve lives for 5 billion consumers worldwide. This brings many advantages, including the opportunity for our employees to enjoy a diverse and rewarding lifelong career filled with new and exciting challenges.
We believe great ideas emerge from the creative connections that happen between our talented employees, and we encourage diverse, multi-functional teams to work together to generate new ideas to address challenges we face. P&G has positions available at various technical centers and plants (including Cincinnati) across the United States.
Native is looking to expand our team with individuals who believe in our mission of making CLEAN and EFFECTIVE personal care products with easy-to-understand ingredients that are good for our consumers and our planet. Founded in 2015, with over 50,000+ 5-star product reviews, we are growing fast as we expand our reach both online and in-stores.
In This Role, You’ll Get To:
Pull and analyze data on sales consumption, inventory and sell-thru
Support Product Supply Manager with overseeing day to day operations for each site to ensure timely production, release, and shipment of product
Develop and maintain strong relationships with each Contract Manufacturing and Printing site
Support line extensions, project launches, and new initiatives
Maintain C:D metrics tracking unplanned downtime and production changes

Qualifications
Education:
Have a minimum of a high school diploma, GED or equivalent education, however, a two or four-year college degree or equivalent administrative experience is preferred.
We Are Looking For People With:
1+ years of Product Operations, Supply Chain or Inventory Planning experience is preferred
Strong organization, planning, time management, and communication skills
Strong background in data analysis and ability to develop actionable insights
Experience working for a tangible product line
Experience working with Excel/Google Sheets and/or planning tools
What we offer:
Responsibilities as of Day 1 - you will feel the ownership of your work from the beginning, and you will be given specific ownership areas and responsibilities.
Continuous mentorship - you will work with passionate people and receive formal training as well as day-to-day mentoring from your manager. Work and be part of a dynamic and encouraging environment - working over a diverse array of interesting problems.
Promote agility and work/life effectiveness and your long-term well-being.
Get a competitive salary and benefits package.
Just So You Know:
All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.
Starting Pay / Salary Range:$71,700 – $102,400
Compensation for roles at P&G varies depending on a wide array of non-discriminatory factors including but not limited to the specific office location, role, degree/credentials, relevant skill set, and level of relevant experience. At P&G compensation decisions are dependent on the facts and circumstances of each case. Total rewards at P&G include salary + bonus (if applicable) + benefits. Your recruiter may be able to share more about our total rewards offerings and the specific salary range for the relevant location(s) during the hiring process.
Immigration Sponsorship is not available for this role. For more information regarding who is eligible for hire at P&G along with other work authorization FAQ’s, please clickHERE.
Procter & Gamble participates in e-verify as required by law.
Qualified individuals will not be disadvantaged based on being unemployed.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Job locations:
San Francisco, California, United States Job Type: Full time Job categories: Supply Network Operations/Logistics Req No: R000075430"
Data Analyst,QuinStreet,"Remote in Foster City, CA",3.1,PostedPosted 30+ days ago,"$80,000 - $120,000 a year","Develop a deep understanding of the related data sources and leverage them to inform business decisions.
Excellent communication and presentation skills with…",/rc/clk?jk=d9bd19709d15e423&fccid=887caf99ec3af58f&vjs=3,"Powering Performance Marketplaces in Digital Media
QuinStreet is a pioneer in powering decentralized online marketplaces that match searchers and ""research and compare"" consumers with brands. We run these virtual- and private-label marketplaces in one of the nation's largest media networks.
Our industry leading segmentation and AI-driven matching technologies help consumers find better solutions and brands faster. They allow brands to target and reach in-market customer prospects with pinpoint segment-by-segment accuracy, and to pay only for performance results.
Our campaign-results-driven matching decision engines and optimization algorithms are built from over 20 years and billions of dollars of online media experience.
We believe in:
The direct measurability of digital media.
Performance marketing. (We pioneered it.)
The advantages of technology.
We bring all this together to deliver truly great results for consumers and brands in the world's biggest channel.

Job Category
In this role you will become an expert on optimal performance and strategy of digital marketing campaigns. You will work with fellow analysts to analyze, conjecture, and manage investigations, product fixes, and optimizations to increase our yield and support our relationships with Media Partners.

You will be required to develop a deep understanding of the related data sources and leverage them to inform business decisions. You will be required to develop a deep understanding of our analytical tools and the automation of business processes and decision-making. You will need to leverage diverse problem solving strategies and balance multiple simultaneous efforts in a dynamic and high velocity environment.

You will be expected to delve into business problems and analyze opportunities for growth. You will be a locus for understanding advantages, weaknesses, and deploying creative approaches to analytical problems; you will be expected to communicate these insights in an effective and timely manner, responding to the analytical needs of the business, and delivering actionable plans for improving our business.

Responsibilities
Develop a deep understanding of the related data sources and leverage them to inform business decisions
Develop a deep understanding of our analytical tools and the automation of business processes and decision-making
Leverage diverse problem solving strategies and balance multiple simultaneous efforts in a dynamic and high velocity environment
Dive into business problems and analyze opportunities for growth
You will be a locus for understanding advantages, weaknesses, and deploying creative approaches to analytical problems
Communicate these insights in an effective and timely manner, responding to the analytical needs of the business, and delivering actionable plans for improving our business.
Qualifications:
2+ years of experience in an analytical role is required
Inquisitive mindset that is willing to challenge status quo and various stakeholders
Ability to digest disparate datasets and visualize key trends or takeaways from raw datasets
Excellent communication and presentation skills with the ability to synthesize key takeaways and present data-proven results
Strong analytical, organizational and problem-solving skills including abnormality detection, predictive analysis, market segmentation, and competitive analysis.
Experience in using SQL with enterprise datasets is required
Experience in R or Python is required
Experience with Tableau or other related Business Intelligence Tool is required
Experience with automation in an enterprise setting is a major place
The expected salary range for this position is $80,000 USD to $120,000 USD annually. This salary range is an estimate, and the actual salary may vary based on the Company's compensation practices. The salary may be adjusted based on applicant's geographic location. The position is also eligible to receive performance bonus or commission and equity in the form of restricted stock units. This position is eligible to participate in the Company's standard employee benefits programs, which currently include health care benefits; (2) retirement benefits; (3) the amount of paid days off (paid sick leave, parental leave, paid time off, or vacation benefits); (4) any other tax-reportable benefits.

#LI-REMOTE
QuinStreet is an equal opportunity employer. We do not discriminate on the basis of race, color, religion, national origin, pregnancy status, sex, age, marital status, disability, sexual orientation, gender identity or any other characteristics protected by law.
Please see QuinStreet's Employee Privacy Notice here."
DATAA001291 Data Analyst,Northern California Institute for Research and...,"San Francisco, CA 94121 (Lincoln Park area)",3.3,PostedPosted 14 days ago,$26.84 - $34.90 an hour,Using “high dimensional” data from human -omics for molecular and functional phenotyping of immune cells in pulmonary diseases.,/company/Northern-California-Institute-for-Research-and-Education/jobs/Data-Analyst-d0143270a7ac7bbd?fccid=0b15807c63b9cf82&vjs=3,"Northern California Institute for Research and Education (NCIRE) is the leading nonprofit research institute in the United States devoted to advancing Veterans health research. NCIRE is part of one of the world’s most dedicated and successful Veterans care communities, pioneering new treatments and understandings of military medicine and care.
Along with our partners at the San Francisco VA Health Care System and the University of California, San Francisco, we are working to discover and develop effective, safe, and practical treatments for military injuries and diseases affecting Veterans. Through new technologies, novel scientific insights, and international clinical collaborations, we strive to set a new standard of health care research for Veterans and military personnel.
Position Definition:
The Data Analyst will work with a jointly appointed UCSF/SFVAHCS Pulmonary and Critical Care Principal Investigator on data analysis of the PI’s research projects. The incumbent will help the PI with a variety of research projects. The successful candidate will independently consult with the PI; plan and implement study projects and analyses; access, manage, merge, and reconcile large databases; apply and develop mathematical models; perform and interpret statistical analyses, including linear, logistic, Cox proportional hazards regression and competing risk models, mixed effect modeling, and machine learning. The incumbent will work with collaborating research faculty and with research fellows and assist with the publication and presentation of findings.
Current active projects include:
Using “big data” to construct cohorts and answer clinically relevant questions in the pulmonary medicine and public health field.
Using “high dimensional” data from human -omics for molecular and functional phenotyping of immune cells in pulmonary diseases.
Essential Functions:
Identify and implement appropriate statistical and predictive models to large datasets.
Communicate analytical results through a variety of written, visual, and oral formats including technical sections of manuscripts, conference posters and presentations, and grants.
Obtain, query, and manage large databases through appropriate data request workflows and computing environments.
Develop study protocols and documentation procedures, and develop and document quality control systems for data validation.
Provide technical support directly and indirectly by acting as the liaison between the research team and technical support.
Suggest novel modeling techniques to foster creative and relevant research.
Job Requirements:
Master’s degree in Statistics, biostatistics, or a related quantitative field.
Experience with a variety of statistical and predictive modeling techniques including logistic regression, mixed effect models, Cox proportional hazard models, and supervised and unsupervised machine learning algorithms.
Experience using programming languages such as R, Python, or SAS.
Familiarity with querying relational databases using SQL.
Strong interpersonal, organizational, written, and oral skills.
The hourly range for this position is $26.84 - $34.90.
Please directly apply by cutting and pasting the below link into your browser. Any applications submitted through this job website will not be considered. All interested candidates must only apply using the link below to be considered.
https://recruiting.ultipro.com/NOR1032NCIRE/JobBoard/82cac330-9aa5-417d-9b64-568d383f4ea0/OpportunityDetail?opportunityId=19c00140-6f85-49e2-8e00-b4a013c581db
Or apply by visiting us at www.ncire.org and apply for DATAA001291 Data Analyst.
Northern California Institute for Research and Education (NCIRE) is proud to be an Equal Opportunity Employer.
Per San Francisco's Fair Chance Ordinance, Northern California Institute for Research and Education (NCIRE) will consider qualified applicants with criminal histories
Principals only. Recruiters, please don't contact this job poster.
Job Type: Full-time
Pay: $26.84 - $34.90 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Day shift
Work Location: In person

Health insurance"
Data Analyst,CBRE,"San Francisco, CA 94105 (Financial District/South Beach area)",3.7,PostedPosted 30+ days ago,NaN,"Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured…",/rc/clk?jk=a8e16fe5460df438&fccid=c9b9e477b3c84b4d&vjs=3,"Posted
19-Oct-2022
Role type
Full-time
Areas of Interest
Data & Analytics
Location(s)
San Francisco - California - United States of America
CBRE is using this platform to provide general information to individuals who want to learn more about a career at CBRE. If an opportunity opens that matches your qualifications, we will reach out to you at that time. We are growing a world-class organization with a world-class team and appreciate your interest in CBRE. We welcome you to explore our Careers page and apply directly to any positions that interest you. We will not consider the submission of resumes on this platform as an expression of interest in any posted position at CBRE.

Responsible for ensuring the business makes better decisions through collection and usage of data. Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured and unstructured data analysis and reporting. Ability to collect, analyze, manipulate, and report on CBRE data.
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
CBRE is an equal opportunity employer that values diversity. We have a long-standing commitment to providing equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, pregnancy, age, citizenship, marital status, disability, veteran status, political belief, or any other basis protected by applicable law. We also provide reasonable accommodations, as needed, throughout the job application process. If you have a disability that inhibits your ability to apply for a position through our online application process, you may contact us via email at recruitingaccommodations@cbre.com or via telephone at +1 866 225 3099 (U.S.) and +1 866 388 4346 (Canada).
NOTE: Some, but not all, of our positions may have an additional requirement to comply with COVID-19 health and safety protocols, including COVID-19 vaccination proof and/or rigorous testing. If you have questions about the requirement(s) for this position, please inform your Recruiter."
Data Analyst,TAA Solutions LLC,"Remote in San Francisco, CA",NaN,PostedPosted 30+ days ago,$40.68 - $60.45 an hour,Performs Gap analysis As-Is/To-Be for large applications; data mapping exercises for clinical data from upstream source systemâ€™s to downstream target…,/company/taa-solutions-llc/jobs/Data-Analyst-6233c6d7737985d4?fccid=dc14d8d15c8abaea&vjs=3,"Technical Business/Daya Analyst
Outreach/Patient Facing Applications
We are seeking a savvy Technical Business/Data Analyst who has Pseudo Code writing experience, as well as an User Interaction and Project Management Coordinator focus within an Outreach functional setting.
To be eligible, Consultants must currently reside in the San Francisco Bay Area or be willing to relocate before commencement of this multi-year engagement.
This position will research and document Clinical data solutions for patient-facing outreach products, as well as assist with project coordination for the outreach team. We are looking for a highly motivated professional with strong organizational, analytical, communication and problem-solving skills.
RESPONSIBILITIES:
Product requirements owner and key player to collaborate with cross functional stakeholders, identify feature gaps, lead requirement gathering/design and development/management for a web-based clinical application.
Strong understanding of SDLC from idea inception through scoping, requirements gathering, analysis, design, construction, QA, user acceptance, maintenance support, and change management.
Produces professional quality project artifacts including but not limited to business and technical requirements documents, data mapping specifications, workflow diagrams, mockups, use cases, issue logs, test cases and other documents as needed.
Gathers technical requirements to build Store procedures, Web Services, and APIs.
Requires a software development mindset to be able to do hands-on pseudo coding in a DSL (Domain Specific Language) and help test the code using an in-house testing tool.
Documents requirements and works with technical teams to provide solutions to promote data integrity in enterprise systems.
Performs Gap analysis As-Is/To-Be for large applications; data mapping exercises for clinical data from upstream source systemâ€™s to downstream target applications.
Serves as a critical resource and liaison between subject matter experts and technical experts throughout the project lifecycle.
Assists in the estimates of time required to deliver project artifacts and reports progress toward delivery goals throughout project.
Identifies and communicates both risks and solutions.
Excels in formulating test strategy and test scenarios that meet business expectations and participates in the QA, UAT, and training of a product.
Assist in application support and management of defects, enhancements and change requests.
Assists in the prioritization, planning, communication and coordination of project
Able to work across programs and on multiple parallel tasks, strong relationship building skills & communication skills.
Demonstrated ability to function as a thought leader.
Foster collaboration across disparate, cross-functional teams and to establish and maintain a high level of trust and confidence with colleagues and clients.
REQUIREMENTS:
Minimum of 8 years of Business Analysis or equivalent experience
Minimum of 2 years in gathering technical requirements to build Store procedures, Web Services, and APIs
Hands-on experience writing pseudo coding in a DSL (Domain Specific Language), understands how to read and write conditional programming language
Experience with the requirement gathering, technical scoping, and data mapping discussions
Minimum of 5 years of Data Analysis, SQL database concepts, and IT Management best practices
Minimum of 3 years of hands-on User Interface experience
Minimum of 2 years of project coordination or project management experience
Bachelorâ€™s degree required; Masterâ€™s degree preferred
Business Analysis, PMP, Agile Certifications a plus
Health Care or engineering experience preferred
Job Type: Full-time
Pay: $40.68 - $60.45 per hour
Schedule:
Monday to Friday
Overtime
Weekend availability
Application Question(s):
Do you have any business analysis experience?
What is your visa status?
What is the hourly pay rate you are looking for?
Experience:
SQL: 5 years (Preferred)
Work Location: Remote"
data analyst,Phasorsoft LLC,"San Bruno, CA 94066+1 location",NaN,PostedPosted 3 days ago,"$81,492 - $140,235 a year","Uses data and analysis to drive decisions.
High proficiency with Excel based data analysis.
At least 2 years of experience in performing data analysis &…",/company/Phasorsoft-LLC/jobs/Data-Analyst-27f6adefb52e452a?fccid=37a2ae785d31fe1b&vjs=3,"analytical aptitude
Driving ownership and accountability
Uses data and analysis to drive decisions
Fosters trust with internal partners
Values team dynamics and inputs
Commitment driven
Attention to Details
Bias for action
Qualifications
Bachelor's degree in Computer Science or related technical field. MS/PhD would be a plus
At least 2 years of experience in performing data analysis & reporting. Industry experience preferably in Payments, Risk, Financial Services would be a plus
Advanced understanding of SQL and working with large datasets, summarize findings and make actionable recommendations
High proficiency with Excel based data analysis
Experience driving projects toward clear business goals, testable hypotheses and action-oriented outcomes
communication and interpersonal skills
Must be able to work effectively both on teams as well as be self-motivated, task oriented and organized.
Job Type: Contract
Pay: $81,492.42 - $140,235.08 per year
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
San Bruno, CA 94066: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 1 year (Preferred)
Work Location: In person"
